step,age,gender,category,amount,fraud
0,'4','M','es_transportation',4.55,0
0,'2','M','es_transportation',39.68,0
0,'4','F','es_transportation',26.89,0
0,'3','M','es_transportation',17.25,0
0,'5','M','es_transportation',35.72,0
0,'3','F','es_transportation',25.81,0
0,'1','F','es_transportation',9.1,0
0,'4','F','es_transportation',21.17,0
0,'3','M','es_transportation',32.4,0
0,'5','F','es_transportation',35.4,0
0,'4','F','es_transportation',14.95,0
0,'1','M','es_transportation',1.51,0
0,'3','M','es_health',68.79,0
0,'5','M','es_transportation',20.32,0
0,'3','M','es_transportation',13.56,0
0,'3','F','es_transportation',30.19,0
0,'4','M','es_transportation',17.54,0
0,'5','F','es_transportation',40.69,0
0,'2','M','es_transportation',21.21,0
0,'2','F','es_transportation',10.09,0
0,'2','F','es_transportation',19.31,0
0,'2','M','es_transportation',44.22,0
0,'5','F','es_transportation',44.39,0
0,'5','F','es_transportation',30.72,0
0,'2','M','es_transportation',29.84,0
0,'3','M','es_transportation',12.1,0
0,'4','M','es_transportation',24.84,0
0,'2','M','es_transportation',16.42,0
0,'5','M','es_transportation',2.19,0
0,'5','F','es_transportation',32.27,0
0,'4','M','es_transportation',28.09,0
0,'5','M','es_transportation',16.13,0
0,'2','F','es_transportation',32.7,0
0,'2','F','es_transportation',25.53,0
0,'4','F','es_transportation',39.22,0
0,'5','F','es_transportation',46.14,0
0,'2','M','es_transportation',29.55,0
0,'2','F','es_transportation',36.88,0
0,'2','F','es_transportation',36.15,0
0,'5','F','es_transportation',2.81,0
0,'2','M','es_otherservices',87.67,0
0,'2','F','es_transportation',11.17,0
0,'4','F','es_health',105.59,0
0,'3','M','es_transportation',15.25,0
0,'2','M','es_transportation',33.36,0
0,'4','F','es_transportation',32.96,0
0,'2','F','es_transportation',16.96,0
0,'3','F','es_transportation',49.91,0
0,'2','M','es_transportation',0.93,0
0,'2','M','es_transportation',37.71,0
0,'2','F','es_transportation',12.53,0
0,'2','F','es_transportation',56.97,0
0,'2','M','es_transportation',31.32,0
0,'5','F','es_transportation',21.15,0
0,'1','F','es_transportation',3.12,0
0,'3','F','es_transportation',33.41,0
0,'6','F','es_transportation',45.92,0
0,'3','M','es_transportation',36.82,0
0,'3','F','es_transportation',20.05,0
0,'2','M','es_transportation',43.75,0
0,'4','M','es_transportation',44.88,0
0,'1','F','es_transportation',18.45,0
0,'2','F','es_transportation',29.66,0
0,'2','M','es_transportation',28.38,0
0,'5','F','es_transportation',62.76,0
0,'6','M','es_transportation',21.6,0
0,'2','F','es_transportation',30.74,0
0,'5','F','es_transportation',58.33,0
0,'4','M','es_transportation',44.07,0
0,'5','F','es_transportation',6.52,0
0,'4','M','es_transportation',2.96,0
0,'2','F','es_transportation',44.69,0
0,'2','F','es_transportation',5.01,0
0,'2','M','es_transportation',9.74,0
0,'2','M','es_transportation',10.1,0
0,'4','F','es_transportation',58.64,0
0,'2','F','es_transportation',29.2,0
0,'2','F','es_food',32.6,0
0,'2','M','es_transportation',52.35,0
0,'2','M','es_health',159.92,0
0,'3','M','es_transportation',26.37,0
0,'2','M','es_transportation',49.07,0
0,'2','F','es_transportation',35.74,0
0,'5','F','es_transportation',47.53,0
0,'5','M','es_transportation',29.87,0
0,'2','M','es_transportation',20.31,0
0,'3','F','es_transportation',10.59,0
0,'2','F','es_transportation',21.92,0
0,'3','M','es_health',44.26,1
0,'3','M','es_health',324.5,1
0,'1','M','es_transportation',26.07,0
0,'2','F','es_transportation',10.88,0
0,'4','M','es_transportation',8.05,0
0,'3','F','es_transportation',25.59,0
0,'5','F','es_transportation',15.26,0
0,'3','M','es_transportation',20.73,0
0,'1','F','es_transportation',68.17,0
0,'3','F','es_transportation',34.75,0
0,'2','F','es_health',171.07,0
0,'6','F','es_transportation',50.31,0
0,'3','M','es_transportation',17.87,0
0,'2','F','es_transportation',5.96,0
0,'3','F','es_transportation',13.08,0
0,'6','F','es_transportation',51.99,0
0,'2','F','es_transportation',9.54,0
0,'2','M','es_transportation',61.33,0
0,'3','M','es_transportation',47.72,0
0,'3','M','es_transportation',1.72,0
0,'6','M','es_transportation',8.14,0
0,'3','M','es_transportation',43.76,0
0,'2','M','es_transportation',52.36,0
0,'6','M','es_transportation',14.2,0
0,'6','F','es_transportation',2.06,0
0,'4','M','es_transportation',45.32,0
0,'3','M','es_transportation',10.38,0
0,'3','F','es_transportation',2.46,0
0,'2','F','es_transportation',40.15,0
0,'4','M','es_transportation',4.96,0
0,'2','M','es_transportation',43.55,0
0,'3','M','es_transportation',8.56,0
0,'5','F','es_transportation',28.06,0
0,'5','M','es_transportation',7.89,0
0,'5','F','es_transportation',44.59,0
0,'4','M','es_transportation',10.84,0
0,'3','F','es_transportation',13.35,0
0,'2','F','es_transportation',10.49,0
0,'5','F','es_transportation',6.19,0
0,'1','F','es_hotelservices',114.54,0
0,'1','M','es_transportation',23.97,0
0,'1','F','es_transportation',7.75,0
0,'2','M','es_barsandrestaurants',36.41,0
0,'4','F','es_health',11.83,0
0,'3','M','es_transportation',4.23,0
0,'2','M','es_transportation',11.23,0
0,'4','M','es_transportation',20.55,0
0,'2','F','es_transportation',43.78,0
0,'4','F','es_transportation',10.96,0
0,'3','M','es_transportation',33.27,0
0,'5','M','es_health',109.26,0
0,'5','F','es_transportation',38.38,0
0,'2','F','es_transportation',1.01,0
0,'3','M','es_transportation',31.73,0
0,'2','M','es_transportation',13.33,0
0,'2','M','es_transportation',68.39,0
0,'2','M','es_transportation',2.46,0
0,'3','M','es_transportation',33.71,0
0,'3','F','es_transportation',39.96,0
0,'1','M','es_transportation',17.56,0
0,'6','F','es_tech',163.56,0
0,'3','F','es_transportation',23.24,0
0,'3','F','es_transportation',26.46,0
0,'3','F','es_transportation',13.56,0
0,'2','M','es_transportation',25.53,0
0,'1','F','es_sportsandtoys',11.83,0
0,'1','M','es_transportation',24.15,0
0,'2','F','es_transportation',2.63,0
0,'2','M','es_transportation',31.2,0
0,'2','F','es_transportation',4.15,0
0,'2','M','es_transportation',29.95,0
0,'3','F','es_transportation',58.95,0
0,'1','M','es_health',7.94,0
0,'2','F','es_transportation',37.8,0
0,'3','F','es_transportation',55.19,0
0,'5','M','es_transportation',32.95,0
0,'4','M','es_transportation',50.9,0
0,'3','M','es_transportation',15.69,0
0,'4','F','es_transportation',14.36,0
0,'2','M','es_transportation',50.57,0
0,'3','M','es_transportation',37.73,0
0,'2','M','es_transportation',30.98,0
0,'2','F','es_transportation',10.37,0
0,'3','F','es_transportation',64.69,0
0,'3','M','es_transportation',44.5,0
0,'1','M','es_transportation',5.5,0
0,'3','M','es_transportation',30.86,0
